date,product_id,product_name,category,supplier_id,current_stock,max_stock_capacity,safety_stock,reserved_stock,avg_sales_7d,avg_sales_30d,avg_sales_90d,quantity_sold,number_of_orders,revenue,returns,supplier_lead_time,supplier_reliability,month,quarter,season,holiday_indicator,event_type,impact_score,region,future_demand
2025-08,P007,Insulin,Diabetes,S007,4120,6849,578,21,99,122,109,3660,299,131760,19,6,0.76,8,3,Summer,0,None,0,Gabes,4603
2025-09,P010,Metformin,Diabetes,S009,2746,6648,528,102,63,57,73,2109,392,14763,16,9,0.83,9,3,Autumn,0,Allergy_Season,60,Gabes,1914
2024-06,P014,Diclofenac,Painkiller,S001,4211,6952,672,236,120,129,119,4902,673,240198,4,16,0.77,6,2,Summer,1,Ramadan,30,Beja,3438
2022-03,P004,Cough Syrup,Respiratory,S008,1352,6298,283,88,54,83,96,1992,306,77688,74,11,0.83,3,1,Spring,0,Heat_Wave,40,Gabes,3006
2023-01,P001,Paracetamol,Painkiller,S001,4235,5580,332,139,55,63,53,1701,269,44226,39,4,0.71,1,1,Winter,0,None,0,Tunis,1571
2025-07,P011,Azithromycin,Antibiotic,S007,3546,4088,688,281,176,169,184,3380,997,60840,32,16,0.79,7,3,Summer,0,Flu_Outbreak,70,Tunis,4841
2023-09,P010,Metformin,Diabetes,S009,1547,4305,599,197,110,101,116,4040,424,169680,94,8,0.75,9,3,Autumn,0,Cold_Wave,50,Sousse,2937
2022-08,P008,Aspirin,Cardiology,S009,2403,4479,167,288,38,57,68,1767,682,65379,12,6,0.79,8,3,Summer,0,Heat_Wave,40,Nabeul,1315
2024-08,P003,Amoxicillin,Antibiotic,S001,4857,4472,188,28,42,34,28,680,484,19720,6,7,0.84,8,3,Summer,0,Cold_Wave,50,Beja,1425
2022-03,P004,Cough Syrup,Respiratory,S003,3034,7301,255,251,34,39,55,1365,923,75075,97,13,0.75,3,1,Spring,1,Eid,25,Gabes,1391
2022-12,P014,Diclofenac,Painkiller,S006,3810,5660,585,100,25,39,28,1053,911,10530,70,3,0.82,12,4,Winter,1,Eid,25,Nabeul,1151
2025-05,P006,Antihistamine,Allergy,S005,4978,4489,207,220,105,100,100,2500,533,12500,33,20,0.73,5,2,Spring,1,Eid,25,Sousse,3814
2024-05,P013,Cetirizine,Allergy,S009,3844,7305,359,189,64,85,78,3145,888,110075,46,19,0.81,5,2,Spring,0,Virus_Outbreak,90,Sfax,3196
2024-07,P001,Paracetamol,Painkiller,S001,3436,7002,682,284,79,80,67,2880,800,141120,13,11,0.72,7,3,Summer,1,Eid,25,Gabes,2679
2024-06,P011,Azithromycin,Antibiotic,S001,2571,6450,558,171,63,62,57,2108,60,73780,57,4,0.98,6,2,Summer,0,Cold_Wave,50,Gabes,1515
2022-09,P006,Antihistamine,Allergy,S003,1889,7154,148,28,53,68,64,2720,929,65280,4,5,0.89,9,3,Autumn,0,None,0,Sousse,1238
2026-02,P015,Salbutamol,Respiratory,S010,4152,4927,630,42,115,136,146,5032,816,231472,50,15,0.8,2,1,Winter,1,Ramadan,30,Beja,3443
